定位,SpellID,效果类别,来源装等,来源物品ID,来源物品,应用数量
strength,64792,攻击强度,226,45522,古神之血,5
strength,65020,护甲穿透,226,45931,雷神符石,6
strength,65025,暴击等级,226,46038,黑暗物质,6
strength,71404,护甲穿透,232,50198,钉壳毒蝎,6
strength,64786,急速等级,239,45609,彗星之痕,6
agility,64792,攻击强度,226,45522,古神之血,10
agility,65020,护甲穿透,226,45931,雷神符石,10
agility,65025,暴击等级,226,46038,黑暗物质,10
agility,71404,护甲穿透,232,50198,钉壳毒蝎,10
agility,64786,急速等级,239,45609,彗星之痕,10
caster,64742,法术强度,226,45490,潘多拉的恳求,10
caster,64714,法术强度,239,45518,天堂之焰,11
healer,65002,法力回复,226,45929,西芙的记忆,6
healer,71567,治疗回蓝,232,50260,消融之雪,6
healer,64738,法力回复,239,45535,信仰的证明,6
tank,64764,减伤护盾,226,45507,将军之心,11
全部,,触发武器总数,,,,129
