entry,名称,分组,定位,class,subclass,InventoryType,槽位,装等,白字属性,绿字归一值,绿字最终值,绿字最终随机系数,属性条数,模板原始属性总和,230归一属性总和,随机前后总属性比,插槽数量,插槽1颜色,插槽2颜色,插槽Bonus,伤害,攻速毫秒,DPS,护甲,格挡值,基准entry,基准名称,基准装等,基准class,基准subclass,基准InventoryType,预算回退方式,等价词条映射,外观entry,外观名称,displayid,外观品质,外观物品装等,外观需求等级
99423,暮光审判官临世头巾,护甲,法系输出,4,1,1,头部,230,智力+63；耐力+88,暴击等级+71；急速等级+63；法术强度+130,暴击等级+77；急速等级+68；法术强度+135,暴击等级×1.0845；急速等级×1.0794；法术强度×1.0385,5,422,415,1.0386,0,,,0,,,,257,,49317,卓越头冠,232,4,1,1,无,,42553,外观液化护目镜,44949,4,200,72
99424,潮汐之兜帽,护甲,法系输出,4,1,1,头部,230,智力+79；耐力+69,命中等级+55；暴击等级+73；法术强度+130,命中等级+60；暴击等级+72；法术强度+130,命中等级×1.0909；暴击等级×0.9863；法术强度×1.0000,5,413,406,1.0099,1,蓝色,,0,,,,257,,49318,灵风头巾,232,4,1,1,无,,34339,纯净圣光兜帽,50018,4,164,70
99425,秘术面罩,护甲,法系输出,4,1,1,头部,230,智力+82；耐力+79,命中等级+61；急速等级+77；法术强度+120,命中等级+62；急速等级+71；法术强度+123,命中等级×1.0164；急速等级×0.9221；法术强度×1.0250,5,426,419,0.9952,1,红色,,0,,,,257,,50298,盲目之冠,232,4,1,1,无,,34340,黑暗咒术之环,50019,4,164,70
99426,咒术头冠,护甲,法系输出,4,1,1,头部,230,耐力+90；智力+90；精神+63,法术强度+111；命中等级+71,法术强度+113；命中等级+77,法术强度×1.0180；命中等级×1.0845,5,433,425,1.0188,1,黄色,,0,,,,257,,48098,萨布拉的征服头环,232,4,1,1,无,,34405,奥术纯净头盔,50020,4,164,70
99427,风暴峭壁肩饰,护甲,法系输出,4,1,3,肩部,230,耐力+67；智力+67,法术强度+94；暴击等级+51；急速等级+59,法术强度+101；暴击等级+51；急速等级+59,法术强度×1.0745；暴击等级×1.0000；急速等级×1.0000,5,344,338,1.0207,0,,,0,,,,237,,47777,逐日者的征服衬肩,232,4,1,3,无,,34202,奇迹披肩,50013,4,159,70
99428,蓝龙军团肩饰,护甲,法系输出,4,1,3,肩部,230,耐力+67；智力+66,法术强度+96；暴击等级+51；命中等级+58,法术强度+87；暴击等级+48；命中等级+62,法术强度×0.9062；暴击等级×0.9412；命中等级×1.0690,5,389,338,0.9763,1,蓝色,,0,,,,237,,47714,灾降衬肩,245,4,1,3,无,,34210,唤魔师护肩,50012,4,159,70
99429,御风者降临衬肩,护甲,法系输出,4,1,3,肩部,230,耐力+67；智力+67,法术强度+103；命中等级+61；急速等级+54,法术强度+100；命中等级+60；急速等级+49,法术强度×0.9709；命中等级×0.9836；急速等级×0.9074,5,358,352,0.9744,0,,,0,,,,237,,50193,潮人护肩,232,4,1,3,无,,34393,求知护肩,50014,4,159,70
99430,诅咒之城肩巾,护甲,法系输出,4,1,3,肩部,230,耐力+67；智力+68；精神+51,法术强度+93；命中等级+54,法术强度+101；命中等级+59,法术强度×1.0860；命中等级×1.0926,5,339,333,1.0390,2,黄色,蓝色,0,,,,241,,45186,煤烟衬肩,232,4,1,3,无,,35006,野蛮角斗士的鬼纹护肩,50009,4,159,70
99431,黎明·长袍,护甲,法系输出,4,1,20,胸部,230,耐力+88；智力+89,法术强度+128；急速等级+86；暴击等级+60,法术强度+118；急速等级+81；暴击等级+55,法术强度×0.9219；急速等级×0.9419；暴击等级×0.9167,5,459,451,0.9557,1,黄色,,0,,,,320,,45272,阴暗蛮族长袍,232,4,1,20,无,,34232,魔能征服者外衣,48299,4,159,70
99432,凛冽·衣袍,护甲,法系输出,4,1,20,胸部,230,耐力+90；智力+86,法术强度+130；命中等级+84；暴击等级+64,法术强度+135；命中等级+77；暴击等级+66,法术强度×1.0385；命中等级×0.9167；暴击等级×1.0312,5,463,454,1.0000,1,蓝色,,0,,,,315,,47906,无眠法袍,232,4,1,20,无,,34364,阳炎之袍,48925,4,159,70
99433,幻光衣袍,护甲,法系输出,4,1,20,胸部,230,耐力+90；智力+90,法术强度+139；命中等级+60；急速等级+90,法术强度+140；命中等级+58；急速等级+85,法术强度×1.0072；命中等级×0.9667；急速等级×0.9444,5,478,469,0.9872,2,红色,黄色,0,,,,315,,50266,上古冰熊之皮,232,4,1,20,无,,34365,永恒光芒长袍,48921,4,159,70
99434,驭龙者之法衣,护甲,法系输出,4,1,20,胸部,230,耐力+90；智力+90；精神+71,法术强度+120；命中等级+71,法术强度+128；命中等级+70,法术强度×1.0667；命中等级×0.9859,5,450,442,1.0158,1,黄色,,0,,,,315,,48743,科尔苏加德的长袍,232,4,1,20,无,,34399,幽怨之袍,48384,4,159,70
99435,擎天腰链,护甲,法系输出,4,1,6,腰部,230,耐力+67；智力+67,法术强度+103；暴击等级+54；急速等级+61,法术强度+102；暴击等级+59；急速等级+66,法术强度×0.9903；暴击等级×1.0926；急速等级×1.0820,5,358,352,1.0256,2,黄色,蓝色,0,,,,177,,50314,悔恨束带,232,4,1,6,无,,35153,护卫者的鬼纹腰带,48683,4,159,70
99436,秩序之腰链,护甲,法系输出,4,1,6,腰部,230,耐力+67；智力+66,法术强度+96；暴击等级+62；命中等级+44,法术强度+98；暴击等级+57；命中等级+43,法术强度×1.0208；暴击等级×0.9194；命中等级×0.9773,5,386,335,0.9881,1,蓝色,,0,,,,178,,47286,凛冬腰带,245,4,1,6,无,,35159,护卫者的月布腰带,48686,4,159,70
99437,破晓腰带,护甲,法系输出,4,1,6,腰部,230,耐力+77；智力+63；精神+59,法术强度+103；急速等级+59,法术强度+95；急速等级+56,法术强度×0.9223；急速等级×0.9492,5,367,361,0.9695,0,,,0,,,,177,,50263,降魔束带,232,4,1,6,无,,35164,护卫者的丝质腰带,48689,4,159,70
99438,秘法之腰带,护甲,法系输出,4,1,6,腰部,230,耐力+67；智力+62,法术强度+94；急速等级+59；命中等级+56,法术强度+100；急速等级+61；命中等级+57,法术强度×1.0638；急速等级×1.0339；命中等级×1.0179,5,344,338,1.0266,0,,,0,,,,177,,47855,冰吼束带,232,4,1,6,无,,34527,赦免腰带,48356,4,154,70
99439,战争领主战裙,护甲,法系输出,4,1,7,腿部,230,耐力+90；智力+90,法术强度+120；暴击等级+78；急速等级+63,法术强度+123；暴击等级+76；急速等级+67,法术强度×1.0250；暴击等级×0.9744；急速等级×1.0635,5,450,441,1.0113,1,黄色,,0,,,,276,,47800,古尔丹的征服护腿,232,4,1,7,无,,34170,止战马裤,48295,4,159,70
99440,圣贤长裤,护甲,法系输出,4,1,7,腿部,230,耐力+79；智力+85,暴击等级+77；命中等级+69；法术强度+127,暴击等级+81；命中等级+64；法术强度+130,暴击等级×1.0519；命中等级×0.9275；法术强度×1.0236,5,421,437,1.0046,1,蓝色,,0,,,,278,,46133,征服者的肯瑞托护腿,226,4,1,7,无,,34181,灾难护腿,48296,4,159,70
99441,荣光裤腿,护甲,法系输出,4,1,7,腿部,230,耐力+90；智力+90,法术强度+120；急速等级+63；命中等级+78,法术强度+124；急速等级+58；命中等级+73,法术强度×1.0333；急速等级×0.9206；命中等级×0.9359,5,450,441,0.9864,1,红色,,0,,,,276,,48099,萨布拉的征服长裤,232,4,1,7,无,,34386,激战长裤,48307,4,159,70
99442,生长战裙,护甲,法系输出,4,1,7,腿部,230,耐力+90；智力+90,法术强度+120；急速等级+63；命中等级+78,法术强度+113；急速等级+64；命中等级+75,法术强度×0.9417；急速等级×1.0159；命中等级×0.9615,5,450,441,0.9796,1,黄色,,0,,,,276,,48074,维伦的征服长裤,232,4,1,7,无,,35005,野蛮角斗士的鬼纹护腿,49952,4,159,70
99443,寒霜布靴,护甲,法系输出,4,1,8,脚部,230,耐力+75；智力+63,法术强度+85；急速等级+44；暴击等级+56,法术强度+93；急速等级+43；暴击等级+51,法术强度×1.0941；急速等级×0.9773；暴击等级×0.9107,5,351,323,1.0062,2,黄色,蓝色,0,,,,217,,45537,伪神之靴,239,4,1,8,无,,35138,护卫者的鬼纹软靴,48685,4,159,70
99444,安戈洛之护足,护甲,法系输出,4,1,8,脚部,230,耐力+63；智力+68,法术强度+98；命中等级+39；暴击等级+63,法术强度+107；命中等级+40；暴击等级+68,法术强度×1.0918；命中等级×1.0256；暴击等级×1.0794,5,337,331,1.0453,0,,,0,,,,217,,47873,夺日者法师软鞋,232,4,1,8,无,,35144,护卫者的月布便鞋,48688,4,159,70
99445,冬拥湖足具,护甲,法系输出,4,1,8,脚部,230,耐力+67；智力+67；精神+60,法术强度+103；急速等级+56,法术强度+94；急速等级+58,法术强度×0.9126；急速等级×1.0357,5,359,353,0.9802,1,红色,,0,,,,217,,50286,主教的雪鞋,232,4,1,8,无,,35149,护卫者的丝质裹足,48691,4,159,70
99446,魔铁长靴,护甲,法系输出,4,1,8,脚部,230,耐力+63；智力+68,法术强度+98；命中等级+39；暴击等级+63,法术强度+107；命中等级+36；暴击等级+63,法术强度×1.0918；命中等级×0.9231；暴击等级×1.0000,5,337,331,1.0181,0,,,0,,,,217,,47721,银色大法师便鞋,232,4,1,8,无,,34562,赦免长靴,48367,4,154,70
99447,命轮·腕轮,护甲,法系输出,4,1,9,腕部,230,耐力+50；智力+50,法术强度+70；暴击等级+36；急速等级+44,法术强度+77；暴击等级+39；急速等级+43,法术强度×1.1000；暴击等级×1.0833；急速等级×0.9773,5,288,250,1.0360,0,,,0,,,,139,,47586,巫师的珠玉护腕,245,4,1,9,无,,34434,赦免护腕,48321,4,154,70
99448,护臂·蓝龙,护甲,法系输出,4,1,9,腕部,230,耐力+50；智力+50,法术强度+77；命中等级+42；暴击等级+44,法术强度+73；命中等级+45；暴击等级+48,法术强度×0.9481；命中等级×1.0714；暴击等级×1.0909,5,268,263,1.0114,1,蓝色,,0,,,,138,,50292,烂齿护腕,232,4,1,9,无,,34436,凶星护腕,48349,4,154,70
99449,卡拉赞日蚀护臂,护甲,法系输出,4,1,9,腕部,230,耐力+48；智力+50,法术强度+77；命中等级+35；急速等级+49,法术强度+76；命中等级+37；急速等级+52,法术强度×0.9870；命中等级×1.0571；急速等级×1.0612,5,264,259,1.0154,1,红色,,0,,,,138,,47861,邪火护腕,232,4,1,9,无,,34447,风暴护腕,48316,4,154,70
99450,幽影镇海腕轮,护甲,法系输出,4,1,9,腕部,230,耐力+48；智力+50,法术强度+77；命中等级+35；急速等级+49,法术强度+81；命中等级+32；急速等级+45,法术强度×1.0519；命中等级×0.9143；急速等级×0.9184,5,264,259,0.9884,0,,,0,,,,138,,47663,邪火束腕,232,4,1,9,无,,35168,护卫者的鬼纹护腕,48684,4,154,70
99451,冰封护手,护甲,法系输出,4,1,10,手部,230,耐力+67；智力+67,法术强度+94；暴击等级+59；急速等级+51,法术强度+100；暴击等级+64；急速等级+46,法术强度×1.0638；暴击等级×1.0847；急速等级×0.9020,5,344,338,1.0178,0,,,0,,,,197,,47773,逐日者的征服护手,232,4,1,10,无,,34342,黎明护手,48305,4,164,70
99452,镇魂使之手套,护甲,法系输出,4,1,10,手部,230,耐力+67；智力+67,法术强度+94；命中等级+51；暴击等级+59,法术强度+88；命中等级+54；暴击等级+55,法术强度×0.9362；命中等级×1.0588；暴击等级×0.9322,5,344,338,0.9793,1,蓝色,,0,,,,197,,48097,萨布拉的征服裹手,232,4,1,10,无,,34344,诸界亵渎护手,48306,4,164,70
99453,神恩之手套,护甲,法系输出,4,1,10,手部,230,耐力+67；智力+67；精神+51,法术强度+94；急速等级+59,法术强度+99；急速等级+54,法术强度×1.0532；急速等级×0.9153,5,344,338,1.0000,0,,,0,,,,197,,48067,萨布拉的征服兜帽,232,4,1,10,无,,34406,泰莉的强能手套,48387,4,164,70
99454,天启者净世手套,护甲,法系输出,4,1,10,手部,230,耐力+67；智力+67,法术强度+94；命中等级+51；暴击等级+59,法术强度+89；命中等级+51；暴击等级+63,法术强度×0.9468；命中等级×1.0000；暴击等级×1.0678,5,344,338,0.9970,1,黄色,,0,,,,197,,48072,维伦的征服裹手,232,4,1,10,无,,34366,阳炎护手,48923,4,159,70
99455,破界头盔,护甲,法系输出,4,2,1,头部,230,智力+67；耐力+75,暴击等级+74；急速等级+71；法术强度+130,暴击等级+73；急速等级+72；法术强度+131,暴击等级×0.9865；急速等级×1.0141；法术强度×1.0077,5,423,417,1.0024,2,黄色,蓝色,0,,,,482,,49327,怒风角冠,232,4,2,1,无,,42550,弱点分析眼镜,45779,4,200,72
99456,祖尔法拉克月刃战盔,护甲,法系输出,4,2,1,头部,230,耐力+90；智力+90,法术强度+111；命中等级+71；暴击等级+63,法术强度+113；命中等级+73；暴击等级+66,法术强度×1.0180；命中等级×1.0282；暴击等级×1.0476,5,433,425,1.0165,0,,,0,,,,482,,48184,符文图腾的征服头巾,232,4,2,1,无,,42554,绿色视界护目镜,45780,4,200,72
99457,风暴峭壁晨星面甲,护甲,法系输出,4,2,1,头部,230,耐力+103；智力+84；精神+63,法术强度+120；急速等级+62,法术强度+127；急速等级+59,法术强度×1.0583；急速等级×0.9516,5,440,432,1.0093,1,红色,,0,,,,489,,45439,坚毅的凝视,232,4,2,1,无,,34244,狡诈之盔,48020,4,164,70
99458,精金头盔,护甲,法系输出,4,2,1,头部,230,耐力+90；智力+90,法术强度+111；命中等级+71；暴击等级+63,法术强度+119；命中等级+78；暴击等级+64,法术强度×1.0721；命中等级×1.0986；暴击等级×1.0159,5,433,425,1.0376,1,黄色,,0,,,,482,,48158,玛法里奥的征服头巾,232,4,2,1,无,,34245,智者乌索尔之帽,48019,4,164,70
99459,月刃之披肩,护甲,法系输出,4,2,3,肩部,230,耐力+59；智力+65,法术强度+85；急速等级+51；暴击等级+59,法术强度+83；急速等级+51；暴击等级+61,法术强度×0.9765；急速等级×1.0000；暴击等级×1.0339,5,324,319,1.0000,1,黄色,,0,,,,444,,47857,极地野兽护肩,232,4,2,3,无,,34195,盛怒护肩,47999,4,159,70
99460,赞加沼泽天火披肩,护甲,法系输出,4,2,3,肩部,230,耐力+67；智力+67；精神+59,法术强度+94；暴击等级+51,法术强度+97；暴击等级+51,法术强度×1.0319；暴击等级×1.0000,5,344,338,1.0089,1,蓝色,,0,,,,444,,48783,符文图腾的斗篷,232,4,2,3,无,,34209,拓荒护肩,48005,4,159,70
99461,守望者之肩甲,护甲,法系输出,4,2,3,肩部,230,耐力+67；智力+67；精神+51,法术强度+94；急速等级+59,法术强度+98；急速等级+57,法术强度×1.0426；急速等级×0.9661,5,344,338,1.0059,1,红色,,0,,,,444,,48157,符文图腾的征服肩铠,232,4,2,3,无,,34392,魔牙护肩,48052,4,159,70
99462,天穹冻结肩铠,护甲,法系输出,4,2,3,肩部,230,耐力+67；智力+67；精神+59,法术强度+94；暴击等级+51,法术强度+103；暴击等级+49,法术强度×1.0957；暴击等级×0.9608,5,344,338,1.0207,0,,,0,,,,444,,48187,符文图腾的征服护肩,232,4,2,3,无,,35001,野蛮角斗士的龙皮护肩,48591,4,159,70
99463,凛冬战衣,护甲,法系输出,4,2,20,胸部,230,耐力+90；智力+90,法术强度+120；急速等级+79；暴击等级+63,法术强度+124；急速等级+81；暴击等级+65,法术强度×1.0333；急速等级×1.0253；暴击等级×1.0317,5,450,442,1.0181,1,黄色,,0,,,,593,,48186,符文图腾的征服护胸,232,4,2,20,无,,34211,野兽本能外套,48011,4,159,70
99464,自然·胸甲,护甲,法系输出,4,2,20,胸部,230,耐力+90；智力+90,法术强度+120；急速等级+79；暴击等级+63,法术强度+132；急速等级+86；暴击等级+59,法术强度×1.1000；急速等级×1.0886；暴击等级×0.9365,5,450,442,1.0339,1,蓝色,,0,,,,593,,48159,玛法里奥的征服护胸,232,4,2,20,无,,34212,阳光外衣,48012,4,159,70
99465,源质胸甲,护甲,法系输出,4,2,20,胸部,230,耐力+95；智力+87；精神+78,法术强度+130；急速等级+71,法术强度+141；急速等级+72,法术强度×1.0846；急速等级×1.0141,5,470,461,1.0260,0,,,0,,,,593,,50312,断枝胸甲,232,4,2,5,无,,34369,烈日暗影甲冑,48912,4,159,70
99466,轮回降世战衣,护甲,法系输出,4,2,20,胸部,230,耐力+90；智力+90；精神+71,法术强度+120；暴击等级+71,法术强度+112；暴击等级+67,法术强度×0.9333；暴击等级×0.9437,5,450,442,0.9729,1,黄色,,0,,,,593,,48156,符文图腾的征服法袍,232,4,2,20,无,,34371,骄阳之皮革胸甲,48916,4,159,70
99467,咒纹腰带,护甲,法系输出,4,2,6,腰部,230,耐力+67；智力+65,法术强度+91；暴击等级+57；急速等级+48,法术强度+99；暴击等级+55；急速等级+52,法术强度×1.0879；暴击等级×0.9649；急速等级×1.0833,5,450,328,1.0305,2,黄色,蓝色,0,,,,339,,50994,石化藤条腰带,264,4,2,6,无,,35152,护卫者的龙皮腰带,48676,4,159,70
99468,苍穹·战带,护甲,法系输出,4,2,6,腰部,230,耐力+67；智力+67；精神+59,法术强度+94；暴击等级+47,法术强度+88；暴击等级+44,法术强度×0.9362；暴击等级×0.9362,5,340,334,0.9731,2,蓝色,红色,0,,,,333,,47863,血蹄使者束带,232,4,2,6,无,,35156,护卫者的皮甲腰带,48677,4,159,70
