"ID","HonorPoints","ArenaPoints","ArenaBracket","ItemID_1","ItemID_2","ItemID_3","ItemID_4","ItemID_5","ItemCount_1","ItemCount_2","ItemCount_3","ItemCount_4","ItemCount_5","RequiredArenaRating","ItemPurchaseGroup"
"4067","0","0","0","62001","0","0","0","0","2","0","0","0","0","0","0"
"4068","0","0","0","62001","0","0","0","0","5","0","0","0","0","0","0"
"4069","0","0","0","62001","0","0","0","0","10","0","0","0","0","0","0"
"4070","0","0","0","62001","0","0","0","0","15","0","0","0","0","0","0"
"4071","0","0","0","62001","0","0","0","0","20","0","0","0","0","0","0"
"4072","0","0","0","62001","0","0","0","0","25","0","0","0","0","0","0"
"4073","0","0","0","62001","0","0","0","0","30","0","0","0","0","0","0"
"4074","0","0","0","62001","0","0","0","0","35","0","0","0","0","0","0"
"4075","0","0","0","62001","0","0","0","0","40","0","0","0","0","0","0"
"4076","0","0","0","62001","0","0","0","0","45","0","0","0","0","0","0"
"4077","0","0","0","62001","0","0","0","0","50","0","0","0","0","0","0"
"4078","0","0","0","62001","0","0","0","0","55","0","0","0","0","0","0"
"4079","0","0","0","62001","0","0","0","0","60","0","0","0","0","0","0"
"4080","0","0","0","62001","0","0","0","0","65","0","0","0","0","0","0"
"4081","0","0","0","62001","0","0","0","0","70","0","0","0","0","0","0"
"4082","0","0","0","62001","0","0","0","0","75","0","0","0","0","0","0"
"4083","0","0","0","62001","0","0","0","0","80","0","0","0","0","0","0"
"4084","0","0","0","62001","0","0","0","0","85","0","0","0","0","0","0"
"4085","0","0","0","62001","0","0","0","0","90","0","0","0","0","0","0"
"4086","0","0","0","62001","0","0","0","0","95","0","0","0","0","0","0"
"4087","0","0","0","62001","0","0","0","0","100","0","0","0","0","0","0"
"4088","0","0","0","62001","0","0","0","0","105","0","0","0","0","0","0"
"4089","0","0","0","62001","0","0","0","0","110","0","0","0","0","0","0"
"4090","0","0","0","62001","0","0","0","0","115","0","0","0","0","0","0"
"4091","0","0","0","62001","0","0","0","0","120","0","0","0","0","0","0"
"4092","0","0","0","62001","0","0","0","0","125","0","0","0","0","0","0"
"4093","0","0","0","62001","0","0","0","0","130","0","0","0","0","0","0"
"4094","0","0","0","62001","0","0","0","0","135","0","0","0","0","0","0"
"4095","0","0","0","62001","0","0","0","0","140","0","0","0","0","0","0"
"4096","0","0","0","62001","0","0","0","0","145","0","0","0","0","0","0"
"4097","0","0","0","62001","0","0","0","0","150","0","0","0","0","0","0"
"4098","0","0","0","62001","0","0","0","0","155","0","0","0","0","0","0"
"4099","0","0","0","62001","0","0","0","0","160","0","0","0","0","0","0"
"4100","0","0","0","62001","0","0","0","0","165","0","0","0","0","0","0"
"4101","0","0","0","62001","0","0","0","0","170","0","0","0","0","0","0"
"4102","0","0","0","62001","0","0","0","0","175","0","0","0","0","0","0"
"4103","0","0","0","62001","0","0","0","0","180","0","0","0","0","0","0"
"4104","0","0","0","62001","0","0","0","0","185","0","0","0","0","0","0"
"4105","0","0","0","62001","0","0","0","0","190","0","0","0","0","0","0"
"4106","0","0","0","62001","0","0","0","0","195","0","0","0","0","0","0"
"4107","0","0","0","62001","0","0","0","0","200","0","0","0","0","0","0"
